CUST,Start time for each 30min measurement period,Consumption in kWh,Trading Period,Price $/MWh for each trading period,Solar Energy Used,Excess Energy Exported to Grid,Revenue from Energy Used by Building,Revenue from Energy Exported to Grid,Total Revenue per Period,
216298730,2023-01-01 00:00:00,0.7,1,3.24,0.7,2.63,0.203,0.3156,0.5186,
216298730,2023-01-01 00:30:00,0.2,2,4.36,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 01:00:00,0.4,3,3.61,0.4,2.93,0.116,0.3516,0.4676,
216298730,2023-01-01 01:30:00,1.2,4,6.13,1.2,2.13,0.348,0.2556,0.6036,
216298730,2023-01-01 02:00:00,0.2,5,4.74,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 02:30:00,0.3,6,2.96,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 03:00:00,0.4,7,0.03,0.4,2.93,0.116,0.3516,0.4676,
216298730,2023-01-01 03:30:00,0.8,8,0.05,0.8,2.53,0.232,0.3036,0.5356,
216298730,2023-01-01 04:00:00,0.3,9,0.03,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 04:30:00,0.3,10,0.03,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 05:00:00,0.3,11,1.47,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 05:30:00,0.2,12,3,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 06:00:00,0.3,13,5.26,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 06:30:00,0.2,14,4.41,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 07:00:00,0.2,15,3.82,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 07:30:00,0.3,16,1.62,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 08:00:00,0.2,17,0.03,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 08:30:00,0.6,18,0.03,0.6,2.73,0.174,0.3276,0.5016,
216298730,2023-01-01 09:00:00,0.3,19,0.03,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 09:30:00,0.2,20,3.59,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 10:00:00,0.3,21,5.64,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 10:30:00,0.5,22,5.17,0.5,2.83,0.145,0.3396,0.4846,
216298730,2023-01-01 11:00:00,1.6,23,5.2,1.6,1.73,0.464,0.2076,0.6716,
216298730,2023-01-01 11:30:00,0.2,24,5.41,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 12:00:00,0.3,25,4.73,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 12:30:00,0.2,26,5.32,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 13:00:00,0.3,27,0.03,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 13:30:00,0.3,28,0.03,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 14:00:00,0.2,29,0.03,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 14:30:00,0.3,30,0.03,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 15:00:00,0.2,31,0.03,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 15:30:00,0.3,32,0.03,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 16:00:00,0.3,33,0.03,0.3,3.03,0.087,0.3636,0.4506,
216298730,2023-01-01 16:30:00,0.2,34,0.7,0.2,3.13,0.058,0.3756,0.4336,
216298730,2023-01-01 17:00:00,0.5,35,1.37,0.5,2.83,0.145,0.3396,0.4846,
216298730,2023-01-01 17:30:00,0.4,36,5.08,0.4,2.93,0.116,0.3516,0.4676,
216298730,2023-01-01 18:00:00,0.3,37,4.27,0.3,3.03,0.087,0.3636,0.4506,
