CUST,Start time for each 30min measurement period,Consumption in kWh,Trading Period,Price $/MWh for each trading period,Solar Energy Used,Excess Energy Exported to Grid,Revenue from Energy Used by Building,Revenue from Energy Exported to Grid,Total Revenue per Period
218691361,2023-01-01 00:00:00,0.1,1,3.24,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-01 00:30:00,1.01,2,4.36,1.01,2.32,0.2929,0.2784,0.5713
218691361,2023-01-01 01:00:00,0.67,3,3.61,0.67,2.66,0.1943,0.3192,0.5135
218691361,2023-01-01 01:30:00,0.11,4,6.13,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-01 02:00:00,0.09,5,4.74,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 02:30:00,0.1,6,2.96,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-01 03:00:00,0.09,7,0.03,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 03:30:00,0.09,8,0.05,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 04:00:00,0.11,9,0.03,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-01 04:30:00,0.59,10,0.03,0.59,2.74,0.1711,0.3288,0.4999
218691361,2023-01-01 05:00:00,0.58,11,1.47,0.58,2.75,0.1682,0.33,0.4982
218691361,2023-01-01 05:30:00,0.6,12,3,0.6,2.73,0.174,0.3276,0.5016
218691361,2023-01-01 06:00:00,0.09,13,5.26,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 06:30:00,0.11,14,4.41,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-01 07:00:00,0.09,15,3.82,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 07:30:00,0.1,16,1.62,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-01 08:00:00,0.09,17,0.03,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 08:30:00,0.66,18,0.03,0.66,2.67,0.1914,0.3204,0.5118
218691361,2023-01-01 09:00:00,0.11,19,0.03,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-01 09:30:00,0.09,20,3.59,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 10:00:00,1.02,21,5.64,1.02,2.31,0.2958,0.2772,0.573
218691361,2023-01-01 10:30:00,0.09,22,5.17,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 11:00:00,0.09,23,5.2,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 11:30:00,0.1,24,5.41,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-01 12:00:00,0.32,25,4.73,0.32,3.01,0.0928,0.3612,0.454
218691361,2023-01-01 12:30:00,0.4,26,5.32,0.4,2.93,0.116,0.3516,0.4676
218691361,2023-01-01 13:00:00,0.1,27,0.03,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-01 13:30:00,0.09,28,0.03,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 14:00:00,0.11,29,0.03,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-01 14:30:00,0.34,30,0.03,0.34,2.99,0.0986,0.3588,0.4574
218691361,2023-01-01 15:00:00,0.68,31,0.03,0.68,2.65,0.1972,0.318,0.5152
218691361,2023-01-01 15:30:00,0.09,32,0.03,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 16:00:00,0.31,33,0.03,0.31,3.02,0.0899,0.3624,0.4523
218691361,2023-01-01 16:30:00,0.44,34,0.7,0.44,2.89,0.1276,0.3468,0.4744
218691361,2023-01-01 17:00:00,0.09,35,1.37,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 17:30:00,0.11,36,5.08,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-01 18:00:00,0.09,37,4.27,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 18:30:00,0.11,38,4.78,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-01 19:00:00,0.87,39,4.56,0.87,2.46,0.2523,0.2952,0.5475
218691361,2023-01-01 19:30:00,0.2,40,4.9,0.2,3.13,0.058,0.3756,0.4336
218691361,2023-01-01 20:00:00,0.65,41,6.2,0.65,2.68,0.1885,0.3216,0.5101
218691361,2023-01-01 20:30:00,0.09,42,9.32,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 21:00:00,0.11,43,10.24,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-01 21:30:00,0.09,44,9.52,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 22:00:00,0.1,45,9.31,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-01 22:30:00,0.1,46,5.61,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-01 23:00:00,0.09,47,25.29,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-01 23:30:00,0.45,48,7.16,0.45,2.88,0.1305,0.3456,0.4761
218691361,2023-01-02 00:00:00,1.26,1,6.65,1.26,2.07,0.3654,0.2484,0.6138
218691361,2023-01-02 00:30:00,0.11,2,5.4,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-02 01:00:00,0.09,3,4.8,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 01:30:00,0.1,4,4.56,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 02:00:00,0.1,5,4.86,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 02:30:00,0.09,6,5.23,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 03:00:00,0.11,7,5.36,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-02 03:30:00,0.09,8,5.35,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 04:00:00,0.69,9,5.08,0.69,2.64,0.2001,0.3168,0.5169
218691361,2023-01-02 04:30:00,0.99,10,5.36,0.99,2.34,0.2871,0.2808,0.5679
218691361,2023-01-02 05:00:00,0.12,11,8.52,0.12,3.21,0.0348,0.3852,0.42
218691361,2023-01-02 05:30:00,0.12,12,9.83,0.12,3.21,0.0348,0.3852,0.42
