CUST,Start time for each 30min measurement period,Consumption in kWh,Trading Period,Price $/MWh for each trading period,Solar Energy Used,Excess Energy Exported to Grid,Revenue from Energy Used by Building,Revenue from Energy Exported to Grid,Total Revenue per Period,Unnamed: 10,Spot Price (cents/kWh),Optimal Price (cents/kWh),Revenue from Grid (Optimal)
216298730.0,2023-01-01 00:00:00,0.7,1.0,3.24,0.7,2.63,0.203,0.3156,0.5186,,0.324,29.0,0.7626999999999999
216298730.0,2023-01-01 00:30:00,0.2,2.0,4.36,0.2,3.13,0.058,0.3756,0.4336,,0.43600000000000005,29.0,0.9077
216298730.0,2023-01-01 01:00:00,0.4,3.0,3.61,0.4,2.93,0.116,0.3516,0.4676,,0.361,29.0,0.8497
216298730.0,2023-01-01 01:30:00,1.2,4.0,6.13,1.2,2.13,0.348,0.2556,0.6036,,0.613,29.0,0.6176999999999999
216298730.0,2023-01-01 02:00:00,0.2,5.0,4.74,0.2,3.13,0.058,0.3756,0.4336,,0.47400000000000003,29.0,0.9077
216298730.0,2023-01-01 02:30:00,0.3,6.0,2.96,0.3,3.03,0.087,0.3636,0.4506,,0.296,29.0,0.8786999999999999
216298730.0,2023-01-01 03:00:00,0.4,7.0,0.03,0.4,2.93,0.116,0.3516,0.4676,,0.003,29.0,0.8497
216298730.0,2023-01-01 03:30:00,0.8,8.0,0.05,0.8,2.53,0.232,0.3036,0.5356,,0.005,29.0,0.7336999999999999
216298730.0,2023-01-01 04:00:00,0.3,9.0,0.03,0.3,3.03,0.087,0.3636,0.4506,,0.003,29.0,0.8786999999999999
216298730.0,2023-01-01 04:30:00,0.3,10.0,0.03,0.3,3.03,0.087,0.3636,0.4506,,0.003,29.0,0.8786999999999999
216298730.0,2023-01-01 05:00:00,0.3,11.0,1.47,0.3,3.03,0.087,0.3636,0.4506,,0.147,29.0,0.8786999999999999
216298730.0,2023-01-01 05:30:00,0.2,12.0,3.0,0.2,3.13,0.058,0.3756,0.4336,,0.3,29.0,0.9077
216298730.0,2023-01-01 06:00:00,0.3,13.0,5.26,0.3,3.03,0.087,0.3636,0.4506,,0.526,29.0,0.8786999999999999
216298730.0,2023-01-01 06:30:00,0.2,14.0,4.41,0.2,3.13,0.058,0.3756,0.4336,,0.441,29.0,0.9077
216298730.0,2023-01-01 07:00:00,0.2,15.0,3.82,0.2,3.13,0.058,0.3756,0.4336,,0.382,29.0,0.9077
216298730.0,2023-01-01 07:30:00,0.3,16.0,1.62,0.3,3.03,0.087,0.3636,0.4506,,0.162,29.0,0.8786999999999999
216298730.0,2023-01-01 08:00:00,0.2,17.0,0.03,0.2,3.13,0.058,0.3756,0.4336,,0.003,29.0,0.9077
216298730.0,2023-01-01 08:30:00,0.6,18.0,0.03,0.6,2.73,0.174,0.3276,0.5016,,0.003,29.0,0.7917000000000001
216298730.0,2023-01-01 09:00:00,0.3,19.0,0.03,0.3,3.03,0.087,0.3636,0.4506,,0.003,29.0,0.8786999999999999
216298730.0,2023-01-01 09:30:00,0.2,20.0,3.59,0.2,3.13,0.058,0.3756,0.4336,,0.359,29.0,0.9077
216298730.0,2023-01-01 10:00:00,0.3,21.0,5.64,0.3,3.03,0.087,0.3636,0.4506,,0.564,29.0,0.8786999999999999
216298730.0,2023-01-01 10:30:00,0.5,22.0,5.17,0.5,2.83,0.145,0.3396,0.4846,,0.517,29.0,0.8207000000000001
216298730.0,2023-01-01 11:00:00,1.6,23.0,5.2,1.6,1.73,0.464,0.2076,0.6716,,0.52,29.0,0.5017
216298730.0,2023-01-01 11:30:00,0.2,24.0,5.41,0.2,3.13,0.058,0.3756,0.4336,,0.541,29.0,0.9077
216298730.0,2023-01-01 12:00:00,0.3,25.0,4.73,0.3,3.03,0.087,0.3636,0.4506,,0.47300000000000003,29.0,0.8786999999999999
216298730.0,2023-01-01 12:30:00,0.2,26.0,5.32,0.2,3.13,0.058,0.3756,0.4336,,0.532,29.0,0.9077
216298730.0,2023-01-01 13:00:00,0.3,27.0,0.03,0.3,3.03,0.087,0.3636,0.4506,,0.003,29.0,0.8786999999999999
216298730.0,2023-01-01 13:30:00,0.3,28.0,0.03,0.3,3.03,0.087,0.3636,0.4506,,0.003,29.0,0.8786999999999999
216298730.0,2023-01-01 14:00:00,0.2,29.0,0.03,0.2,3.13,0.058,0.3756,0.4336,,0.003,29.0,0.9077
216298730.0,2023-01-01 14:30:00,0.3,30.0,0.03,0.3,3.03,0.087,0.3636,0.4506,,0.003,29.0,0.8786999999999999
216298730.0,2023-01-01 15:00:00,0.2,31.0,0.03,0.2,3.13,0.058,0.3756,0.4336,,0.003,29.0,0.9077
216298730.0,2023-01-01 15:30:00,0.3,32.0,0.03,0.3,3.03,0.087,0.3636,0.4506,,0.003,29.0,0.8786999999999999
216298730.0,2023-01-01 16:00:00,0.3,33.0,0.03,0.3,3.03,0.087,0.3636,0.4506,,0.003,29.0,0.8786999999999999
216298730.0,2023-01-01 16:30:00,0.2,34.0,0.7,0.2,3.13,0.058,0.3756,0.4336,,0.06999999999999999,29.0,0.9077
216298730.0,2023-01-01 17:00:00,0.5,35.0,1.37,0.5,2.83,0.145,0.3396,0.4846,,0.137,29.0,0.8207000000000001
216298730.0,2023-01-01 17:30:00,0.4,36.0,5.08,0.4,2.93,0.116,0.3516,0.4676,,0.508,29.0,0.8497
216298730.0,2023-01-01 18:00:00,0.3,37.0,4.27,0.3,3.03,0.087,0.3636,0.4506,,0.42699999999999994,29.0,0.8786999999999999
216298730.0,2023-01-01 18:30:00,1.0,38.0,4.78,1.0,2.33,0.29,0.2796,0.5696,,0.47800000000000004,29.0,0.6757000000000001
216298730.0,2023-01-01 19:00:00,0.3,39.0,4.56,0.3,3.03,0.087,0.3636,0.4506,,0.45599999999999996,29.0,0.8786999999999999
216298730.0,2023-01-01 19:30:00,0.3,40.0,4.9,0.3,3.03,0.087,0.3636,0.4506,,0.49000000000000005,29.0,0.8786999999999999
216298730.0,2023-01-01 20:00:00,0.2,41.0,6.2,0.2,3.13,0.058,0.3756,0.4336,,0.62,29.0,0.9077
216298730.0,2023-01-01 20:30:00,0.3,42.0,9.32,0.3,3.03,0.087,0.3636,0.4506,,0.932,29.0,0.8786999999999999
216298730.0,2023-01-01 21:00:00,1.2,43.0,10.24,1.2,2.13,0.348,0.2556,0.6036,,1.024,29.0,0.6176999999999999
216298730.0,2023-01-01 21:30:00,0.3,44.0,9.52,0.3,3.03,0.087,0.3636,0.4506,,0.952,29.0,0.8786999999999999
216298730.0,2023-01-01 22:00:00,0.3,45.0,9.31,0.3,3.03,0.087,0.3636,0.4506,,0.931,29.0,0.8786999999999999
216298730.0,2023-01-01 22:30:00,0.3,46.0,5.61,0.3,3.03,0.087,0.3636,0.4506,,0.561,29.0,0.8786999999999999
216298730.0,2023-01-01 23:00:00,0.3,47.0,25.29,0.3,3.03,0.087,0.3636,0.4506,,2.529,29.0,0.8786999999999999
216298730.0,2023-01-01 23:30:00,0.3,48.0,7.16,0.3,3.03,0.087,0.3636,0.4506,,0.716,29.0,0.8786999999999999
216298730.0,2023-01-02 00:00:00,0.3,1.0,6.65,0.3,3.03,0.087,0.3636,0.4506,,0.665,29.0,0.8786999999999999
216298730.0,2023-01-02 00:30:00,0.2,2.0,5.4,0.2,3.13,0.058,0.3756,0.4336,,0.54,29.0,0.9077
216298730.0,2023-01-02 01:00:00,0.3,3.0,4.8,0.3,3.03,0.087,0.3636,0.4506,,0.48,29.0,0.8786999999999999
216298730.0,2023-01-02 01:30:00,0.3,4.0,4.56,0.3,3.03,0.087,0.3636,0.4506,,0.45599999999999996,29.0,0.8786999999999999
216298730.0,2023-01-02 02:00:00,0.2,5.0,4.86,0.2,3.13,0.058,0.3756,0.4336,,0.48600000000000004,29.0,0.9077
216298730.0,2023-01-02 02:30:00,1.4,6.0,5.23,1.4,1.93,0.406,0.2316,0.6376,,0.523,29.0,0.5597
216298730.0,2023-01-02 03:00:00,0.3,7.0,5.36,0.3,3.03,0.087,0.3636,0.4506,,0.536,29.0,0.8786999999999999
216298730.0,2023-01-02 03:30:00,0.2,8.0,5.35,0.2,3.13,0.058,0.3756,0.4336,,0.5349999999999999,29.0,0.9077
216298730.0,2023-01-02 04:00:00,0.3,9.0,5.08,0.3,3.03,0.087,0.3636,0.4506,,0.508,29.0,0.8786999999999999
216298730.0,2023-01-02 04:30:00,0.3,10.0,5.36,0.3,3.03,0.087,0.3636,0.4506,,0.536,29.0,0.8786999999999999
216298730.0,2023-01-02 05:00:00,0.2,11.0,8.52,0.2,3.13,0.058,0.3756,0.4336,,0.852,29.0,0.9077
216298730.0,2023-01-02 05:30:00,0.3,12.0,9.83,0.3,3.03,0.087,0.3636,0.4506,,0.983,29.0,0.8786999999999999
216298730.0,2023-01-02 06:00:00,0.3,13.0,5.16,0.3,3.03,0.087,0.3636,0.4506,,0.516,29.0,0.8786999999999999
216298730.0,2023-01-02 06:30:00,0.5,14.0,5.33,0.5,2.83,0.145,0.3396,0.4846,,0.533,29.0,0.8207000000000001
216298730.0,2023-01-02 07:00:00,0.8,15.0,9.01,0.8,2.53,0.232,0.3036,0.5356,,0.901,29.0,0.7336999999999999
216298730.0,2023-01-02 07:30:00,0.3,16.0,7.53,0.3,3.03,0.087,0.3636,0.4506,,0.753,29.0,0.8786999999999999
216298730.0,2023-01-02 08:00:00,0.3,17.0,4.79,0.3,3.03,0.087,0.3636,0.4506,,0.479,29.0,0.8786999999999999
216298730.0,2023-01-02 08:30:00,0.2,18.0,3.56,0.2,3.13,0.058,0.3756,0.4336,,0.356,29.0,0.9077
216298730.0,2023-01-02 09:00:00,0.3,19.0,5.0,0.3,3.03,0.087,0.3636,0.4506,,0.5,29.0,0.8786999999999999
216298730.0,2023-01-02 09:30:00,0.2,20.0,5.51,0.2,3.13,0.058,0.3756,0.4336,,0.5509999999999999,29.0,0.9077
216298730.0,2023-01-02 10:00:00,0.9,21.0,5.49,0.9,2.43,0.261,0.2916,0.5526,,0.549,29.0,0.7047
216298730.0,2023-01-02 10:30:00,0.3,22.0,5.16,0.3,3.03,0.087,0.3636,0.4506,,0.516,29.0,0.8786999999999999
216298730.0,2023-01-02 11:00:00,0.4,23.0,5.28,0.4,2.93,0.116,0.3516,0.4676,,0.528,29.0,0.8497
216298730.0,2023-01-02 11:30:00,0.5,24.0,5.28,0.5,2.83,0.145,0.3396,0.4846,,0.528,29.0,0.8207000000000001
216298730.0,2023-01-02 12:00:00,0.2,25.0,7.18,0.2,3.13,0.058,0.3756,0.4336,,0.718,29.0,0.9077
216298730.0,2023-01-02 12:30:00,0.2,26.0,6.86,0.2,3.13,0.058,0.3756,0.4336,,0.686,29.0,0.9077
216298730.0,2023-01-02 13:00:00,0.3,27.0,4.82,0.3,3.03,0.087,0.3636,0.4506,,0.48200000000000004,29.0,0.8786999999999999
216298730.0,2023-01-02 13:30:00,0.3,28.0,4.78,0.3,3.03,0.087,0.3636,0.4506,,0.47800000000000004,29.0,0.8786999999999999
216298730.0,2023-01-02 14:00:00,0.2,29.0,4.98,0.2,3.13,0.058,0.3756,0.4336,,0.49800000000000005,29.0,0.9077
216298730.0,2023-01-02 14:30:00,0.3,30.0,5.5,0.3,3.03,0.087,0.3636,0.4506,,0.55,29.0,0.8786999999999999
216298730.0,2023-01-02 15:00:00,0.8,31.0,8.98,0.8,2.53,0.232,0.3036,0.5356,,0.898,29.0,0.7336999999999999
216298730.0,2023-01-02 15:30:00,0.7,32.0,7.11,0.7,2.63,0.203,0.3156,0.5186,,0.7110000000000001,29.0,0.7626999999999999
216298730.0,2023-01-02 16:00:00,0.3,33.0,5.22,0.3,3.03,0.087,0.3636,0.4506,,0.522,29.0,0.8786999999999999
216298730.0,2023-01-02 16:30:00,0.3,34.0,5.46,0.3,3.03,0.087,0.3636,0.4506,,0.546,29.0,0.8786999999999999
216298730.0,2023-01-02 17:00:00,0.3,35.0,6.53,0.3,3.03,0.087,0.3636,0.4506,,0.653,29.0,0.8786999999999999
216298730.0,2023-01-02 17:30:00,0.2,36.0,10.18,0.2,3.13,0.058,0.3756,0.4336,,1.018,29.0,0.9077
216298730.0,2023-01-02 18:00:00,1.1,37.0,9.02,1.1,2.23,0.319,0.2676,0.5866,,0.9019999999999999,29.0,0.6467
216298730.0,2023-01-02 18:30:00,0.2,38.0,9.74,0.2,3.13,0.058,0.3756,0.4336,,0.974,29.0,0.9077
216298730.0,2023-01-02 19:00:00,0.3,39.0,10.35,0.3,3.03,0.087,0.3636,0.4506,,1.035,29.0,0.8786999999999999
216298730.0,2023-01-02 19:30:00,0.2,40.0,12.64,0.2,3.13,0.058,0.3756,0.4336,,1.264,29.0,0.9077
216298730.0,2023-01-02 20:00:00,0.3,41.0,10.9,0.3,3.03,0.087,0.3636,0.4506,,1.09,29.0,0.8786999999999999
216298730.0,2023-01-02 20:30:00,0.4,42.0,32.5,0.4,2.93,0.116,0.3516,0.4676,,3.25,29.0,0.8497
216298730.0,2023-01-02 21:00:00,0.5,43.0,51.66,0.5,2.83,0.145,0.3396,0.4846,,5.1659999999999995,29.0,0.8207000000000001
216298730.0,2023-01-02 21:30:00,0.3,44.0,56.39,0.3,3.03,0.087,0.3636,0.4506,,5.639,29.0,0.8786999999999999
216298730.0,2023-01-02 22:00:00,0.3,45.0,10.69,0.3,3.03,0.087,0.3636,0.4506,,1.069,29.0,0.8786999999999999
